股票代码,缺口十字星日期,最高涨幅,收盘涨幅
000007,20120507,0.6993532180786133,-5.809039115905762
000007,20140910,9.98643684387207,9.98643684387207
000046,20120227,0.0,-3.448009490966797
000046,20141125,6.498897075653076,3.9788126945495605
000046,20150713,4.849827289581299,-3.8250982761383057
000048,20121217,5.798649787902832,-1.130986213684082
000048,20150618,9.96694564819336,7.907283306121826
000048,20150717,10.028326034545898,10.028326034545898
000048,20151217,2.009403705596924,-5.7735443115234375
000048,20160106,0.2684473991394043,-10.004401206970215
000048,20160120,9.525156021118164,5.619609355926514
000043,20120120,6.524300575256348,3.0695438385009766
000043,20120312,10.039496421813965,10.039496421813965
000043,20121019,9.96088981628418,9.96088981628418
000043,20121226,-0.9169101715087891,-4.892551898956299
000043,20130104,0.0,-0.522226095199585
000043,20140930,10.00021743774414,5.102837085723877
000043,20150602,1.7804384231567383,-2.2714734077453613
000043,20150811,8.630979537963867,2.008545398712158
000043,20151119,9.992170333862305,9.992170333862305
000043,20160303,2.916836738586426,-3.33402156829834
000049,20100303,8.692550659179688,4.69818115234375
000049,20100420,4.433619976043701,0.611269474029541
000049,20100708,5.671584606170654,2.7675986289978027
000049,20110602,1.7732858657836914,0.4218578338623047
000049,20150121,2.5859475135803223,1.3357996940612793
000049,20150518,8.522868156433105,1.0742664337158203
000049,20151201,3.2033681869506836,-0.7101058959960938
000050,20100115,10.064018249511719,10.064018249511719
000050,20101119,9.981155395507812,8.125675201416016
000050,20120214,9.987485885620117,9.987485885620117
000050,20120820,9.946287155151367,9.946287155151367
000050,20140729,6.774353981018066,1.6160368919372559
000050,20140812,9.98678207397461,9.98678207397461
000050,20140826,2.4154305458068848,0.06611347198486328
000050,20150130,-2.5261640548706055,-5.458158493041992
000050,20150320,4.782629013061523,1.5450477600097656
000050,20150714,8.049715042114258,-8.320283889770508
000050,20150720,6.9707512855529785,3.1247973442077637
000050,20151112,-0.9097397327423096,-6.505638122558594
000056,20110222,-0.5380392074584961,-2.2755324840545654
000008,20130531,-0.2303779125213623,-3.89939546585083
000008,20130605,9.400045394897461,6.094884872436523
000008,20140922,10.040199279785156,10.040199279785156
000008,20140925,9.978330612182617,9.978330612182617
000056,20140820,9.972763061523438,9.972763061523438
000008,20141014,2.4404048919677734,-1.7925798892974854
000008,20141110,1.9591450691223145,-6.1227264404296875
000008,20150305,3.862643241882324,2.189970016479492
000056,20150602,1.6620159149169922,0.05379915237426758
000008,20150722,10.016679763793945,10.016679763793945
000056,20150715,7.197940349578857,6.721746921539307
000056,20150720,9.634363174438477,2.6209592819213867
000008,20151014,10.043954849243164,10.043954849243164
000056,20150820,-1.054900884628296,-6.939810752868652
000056,20150908,6.474184989929199,5.203843116760254
000058,20100317,3.4724831581115723,1.1125445365905762
000058,20100525,-0.1683056354522705,-1.185619831085205
000058,20130717,0.0,-2.713412046432495
000058,20141216,3.955245018005371,2.259683609008789
000058,20150512,-0.06414651870727539,-2.454739809036255
000058,20150615,10.022902488708496,9.618258476257324
000059,20140731,10.046243667602539,5.3488850593566895
000059,20141020,-0.11604428291320801,-2.3498713970184326
000061,20100113,1.875627040863037,0.9702444076538086
000060,20101012,7.778418064117432,7.48676061630249
000060,20130201,9.03221321105957,6.820535659790039
000061,20121217,3.158128261566162,0.5267739295959473
000061,20131011,6.849801540374756,4.909050464630127
000060,20140624,1.312255859375,0.5832910537719727
000060,20150106,6.382787227630615,1.2949585914611816
000061,20150713,9.986984252929688,5.222046375274658
000060,20150527,0.04239082336425781,-10.012703895568848
000060,20160205,8.543753623962402,5.825316905975342
000055,20100421,7.0595622062683105,1.8425703048706055
000055,20120206,-0.43161511421203613,-4.927027225494385
000055,20120808,-1.1666834354400635,-1.8635034561157227
000063,20130307,4.816949367523193,1.6945362091064453
000063,20130724,1.2656450271606445,-1.7088055610656738
000063,20150828,-1.1150777339935303,-1.70210599899292
000065,20100722,2.2289156913757324,1.3989448547363281
000066,20130822,7.14341402053833,-3.0301272869110107
000065,20101019,-1.3534009456634521,-2.3260295391082764
000066,20141225,2.0824670791625977,0.0
000065,20110512,1.7998576164245605,-0.7500350475311279
000066,20150422,2.0061373710632324,-0.8152663707733154
000066,20150527,9.171295166015625,-4.143303871154785
000065,20120515,-1.8696904182434082,-5.006515979766846
000065,20130110,9.99799919128418,9.99799919128418
000065,20131121,0.0,-4.300970077514648
000065,20140902,5.295002460479736,2.539491653442383
000065,20141105,-0.1358509063720703,-1.5365004539489746
000065,20150605,0.9744882583618164,-6.324028968811035
000065,20150713,10.003089904785156,10.003089904785156
000069,20150720,3.733646869659424,1.3119101524353027
000070,20130820,10.029220581054688,10.029220581054688
000070,20150414,9.983146667480469,9.983146667480469
000070,20150417,9.981393814086914,9.981393814086914
000070,20150423,2.0408153533935547,-3.735637664794922
000070,20150520,9.865034103393555,3.950822353363037
000070,20150811,9.891152381896973,6.7206501960754395
000078,20100525,0.0871896743774414,-1.8419444561004639
000078,20130109,10.028207778930664,10.028207778930664
000078,20130115,5.639123916625977,2.6465535163879395
000078,20130402,9.977507591247559,9.977507591247559
000078,20140310,-3.187471628189087,-7.119655609130859
000078,20150413,6.164658069610596,-6.035947799682617
000078,20150423,-1.2817978858947754,-5.1282525062561035
000078,20150512,10.021770477294922,10.021770477294922
000078,20150602,2.3122787475585938,0.0
000078,20150714,10.031473159790039,-0.5080461502075195
000078,20150909,1.5031099319458008,-2.2902309894561768
000078,20151023,5.2931904792785645,3.984212875366211
000078,20151221,1.7757654190063477,0.6064534187316895
000088,20120423,9.131277084350586,4.792523384094238
